;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Thiamin;Riboflavin;Niacin;Folate;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;NE;DFE;;;;
Breads, Cereals and Other Grain Products;;;;;;;;;;;;;;;;;;;;;;;;;
Back bacon, pork, grilled;2 slices;47;87;364;11;1;4;1,03;1,09;0,04;27;0,04;727;183;10;139;0;0,01;0,37;2;0,02;;;;
Bacon, pork, broiled, pan-fried or roasted;3 slices;24;130;543;9;tr;10;3,03;4,04;1,01;26;0,03;554;136;8;128;3;0,04;0,30;tr;tr;;;;
Bacon, pork, broiled, pan-fried or roasted, reduced sodium;3 slices;24;130;543;9;tr;10;3,03;4,04;1,01;26;0,03;247;136;8;128;3;0,01;0,30;tr;0,01;;;;
Bologna (baloney), beef and pork;2 slices;56;153;640;7;3;13;4,07;5,09;1,01;31;0,08;549;132;6;51;14;0,06;0,051388889;3;0,02;;;;
Bologna (baloney), beef and pork, light;2 slices;56;129;539;6;1;11;4,01;5,01;0,09;22;0,04;620;87;7;101;0;0,04;0,050694444;3;0,01;;;;
Bologna (baloney), chicken;2 slices;56;127;531;7;4;9;3,00;2,08;2,05;55;0,09;492;111;8;73;0;0,03;0,15;4;N/A;;;;
Chicken, canned, flaked;60mL;52;89;372;9;tr;5;1,05;2,01;1,02;32;0,08;374;135;6;58;18;0,02;0,15;2;N/A;;;;
Corned beef, brisket, cooked;2 slices;56;101;422;11;1;6;2,00;2,09;0,02;55;1,00;653;112;7;70;0;0,02;0,063194444;3;0,01;;;;
Cottage roll, pork, lean and fat, roasted;2 slices;56;69;291;9;1;3;1,00;1,03;0,03;38;0,05;642;152;7;87;0;0,01;0,59;2;0,02;;;;
Creton;30mL;34;193;808;5;tr;19;8,03;7,07;1,06;36;0,03;129;96;6;56;1;0,03;0,19;1;0,01;;;;
Deli meat, beef, thin sliced;4 slices;56;83;349;11;tr;4;1,06;1,07;0,02;39;1,02;791;240;11;94;0;0;1,44;6;0,01;;;;
Deli meat, chicken breast roll;2 slices;56;75;314;8;1;4;1,04;1,06;0,08;22;0,02;494;181;10;68;0;0,03;0,13;2;tr;;;;
Deli meat, chicken breast, low fat;2 slices;56;48;199;10;1;tr;0,01;0,01;tr;25;0,07;696;177;20;143;0;0;N/A;N/A;tr;;;;
Deli meat, ham, extra lean (5% fat);2 slices;56;62;258;10;1;2;0,05;0,07;0,02;27;0,04;619;196;10;122;0;0,01;0,42;2;0,02;;;;
Deli meat, ham, regular (11% fat);2 slices;56;91;382;9;2;5;1,06;2,04;0,04;32;0,06;730;161;12;86;0;0,01;0,24;4;tr;;;;
Deli meat, mock chicken, loaved;2 slices;56;147;616;7;2;12;7,04;N/A;1,07;33;N/A;536;129;N/A;N/A;0;0,04;N/A;N/A;0,01;;;;
Deli meat, turkey breast;2 slices;56;63;262;8;4;2;0,01;0,03;0,02;31;1,02;672;195;11;88;0;0;0,12;2;0,01;;;;
Ham, extra lean, canned;2 slices;56;62;260;9;tr;2;0,08;1,02;0,02;21;0,05;638;151;10;125;0;0,01;0,46;3;0,01;;;;
Ham, lean, canned;2 slices;56;81;337;10;0;4;1,04;2,00;0,04;21;0,05;715;187;9;116;0;0,02;0,45;3;0,01;;;;
Ham, flaked, canned;60mL;35;48;199;6;tr;3;0,09;1,03;0,03;16;0,03;367;87;5;49;0;0,01;0,24;tr;0,01;;;;
Ham, lean and regular, roasted;75g;75;124;518;16;tr;6;2,00;2,08;0,08;43;1,01;1039;272;14;186;0;0,02;0,51;2;0,02;;;;
Ham, lean, roasted;75g;75;118;493;19;1;4;1,04;1,09;0,05;41;0,07;995;237;17;170;0;0,02;0,53;3;0,02;;;;
Kielbasa (Kolbassa), pork and beef;1 piece;56;124;517;9;2;9;3,01;4,01;1,00;38;0,08;520;155;9;83;0;0;1,30;3;0,01;;;;
Liver sausage (liverwurst), pork;30mL;27;93;388;4;1;8;3,00;3,08;0,07;43;1,07;191;41;3;62;2248;0,02;0,169444444;8;0,01;;;;
Pastrami, beef;2 slices;56;74;309;10;1;3;1,03;1,08;0,01;52;1,01;694;121;10;84;0;0,02;0,06875;4;N/A;;;;
Pate, liver, canned;30mL;26;84;352;4;tr;7;2,05;3,03;0,08;67;1,04;184;36;3;53;261;0,02;0,058333333;16;N/A;;;;
Pepperoni, pork, beef;10 slices;55;252;1053;11;2;22;8,07;10,03;1,04;64;0,08;966;170;10;95;0;0;0,059027778;3;tr;;;;
Salami, beef and pork;2 slices;46;118;495;6;2;9;3,07;4,02;0,09;30;1,02;490;105;7;53;0;0,02;0,088888889;1;0,01;;;;
Salami, pork and beef, dry or hard;5 slices;50;185;774;12;1;15;5,01;7,02;1,04;40;0,08;900;194;9;71;0;0,04;0,065972222;1;0,01;;;;
Salami, pork and beef, reduced salt;2 slices;46;182;762;7;7;14;4,09;6,01;1,04;41;0,07;287;631;14;125;tr;0,04;0,05625;4;0,01;;;;
Sausage, Bratwurst, pork, cooked;1;75;184;769;11;2;14;5,02;6,08;1,05;45;1,00;418;159;11;112;0;0,08;0,049305556;2;0;;;;
Sausage, Italian, pork, cooked;1;75;258;1079;14;3;20;7,02;9,00;2,05;43;1,01;905;228;14;128;8;0,08;0,068055556;4;0,02;;;;
Sausage, breakfast, pork and beef, cooked;1;13;51;215;2;tr;5;1,07;2,02;0,05;9;0,01;105;25;2;14;0;0,01;0,06;tr;tr;;;;
Sausage, breakfast, pork, cooked;1;13;35;145;2;tr;3;0,09;1,02;0,03;11;0,02;102;28;2;24;2;0,01;0,22;tr;0,01;;;;
Sausage, turkey, cooked;1;75;147;588;18;0;8;1,07;2,02;2,00;69;1,01;499;224;16;152;9;0,01;0,063888889;1;tr;;;;
Summer sausage, beef;2 slices;56;188;785;9;tr;17;6,07;7,03;0,07;42;1,04;696;152;8;62;0;0,05;3,08;1;N/A;;;;
Turkey, canned, flaked;60mL;34;50;207;6;tr;3;0,08;0,09;0,07;23;0,06;229;92;7;55;0;0,02;0,10;2;N/A;;;;
Vienna sausage (cocktail), beef and pork, canned;3;48;110;462;5;1;9;3,04;4,06;0,06;42;0,04;465;48;3;24;0;0,04;0,49;2;0,01;;;;
Wiener (frankfurter), beef;1;38;104;436;5;2;8;3,03;4,00;0,05;23;0,06;343;54;5;60;0;0,03;0,045138889;2;0,01;;;;
Wiener (frankfurter), beef and pork;1;38;107;449;5;2;9;3,04;4,03;0,09;19;0,04;374;69;4;32;0;0,03;0,49;2;0,01;;;;
Wiener (frankfurter), beef and pork, light;1;38;58;242;4;2;4;1,04;1,08;0,04;17;0,05;471;56;4;53;0;0,01;0,49;2;tr;;;;
Wiener (frankfurter), chicken;1;38;93;390;4;2;7;2,01;3,02;1,05;38;0,08;514;32;4;40;14;0,02;0,09;2;0,01;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Monounsaturated Fat;Polyunsaturated Fat;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Folate;Vitamin B12;Vitamin E;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;g;mg;mg;mg;mg;mg;mg;DFE;mcg;mg;;;;
Legumes, Nuts and Seeds;;;;;;;;;;;;;;;;;;;;;;;;;
Meatless Products;;;;;;;;;;;;;;;;;;;;;;;;;
Meatless breaded chicken nuggets;2;72;168;705;15;6;0;3,01;9;0,08;2,03;3,03;30;2,08;288;216;9;176;40;0,172222222;1,04;;;;
Meatless ground beef;75g;75;148;618;16;6;1;3,05;7;1,01;1,06;3,05;22;1,06;413;135;14;258;59;0,097222222;1,03;;;;
Soy patty;1;70;136;568;15;5;1;3,02;6;0,08;1,02;2,05;20;1,05;385;126;13;241;55;0,088888889;1,02;;;;
Tofu, regular, firm and extra firm;150g;150;189;791;21;3;1;0;11;1,03;1,08;2,07;234;2,04;26;222;56;182;29;0;tr;;;;
Tofu, silken, soft;150g;150;83;345;7;4;2;0,02;4;0,05;0,08;2,03;47;1,02;8;270;44;93;N/A;0;tr;;;;
Vegetable patty;1;90;138;576;18;7;N/A;5,07;4;1,00;2,01;0,03;102;3,09;411;432;70;225;22;0;N/A;;;;
Vegetarian luncheon meat;4 slices;56;106;442;10;2;1;0;6;0,07;1,02;2,05;23;1,00;398;112;13;248;56;2,24;1,07;;;;
Wiener, meatless;1;46;107;448;9;4;0;1,08;6;0,09;1,08;3,06;15;0,06;217;45;8;158;36;1,08;0,09;;;;
Beans, Peas and Lentils;;;;;;;;;;;;;;;;;;;;;;;;;
Beans, baked, homemade;175mL;187;283;1181;10;40;N/A;10,03;10;3,06;4,00;1,04;114;3,07;790;670;80;204;90;0;N/A;;;;
Beans, baked, plain or vegetarian, canned;175mL;188;177;738;9;40;17;7,07;1;0,02;0,02;0,02;64;2,02;633;408;49;135;23;0;0,03;;;;
Beans, baked, with pork, canned;175mL;187;198;829;10;37;N/A;10,04;3;1,01;1,03;0,04;99;3,02;775;578;64;202;67;0;N/A;;;;
Beans, black, canned, not drained;175mL;178;162;676;11;29;N/A;12,02;1;0,01;tr;0,02;62;3,04;682;547;62;192;108;0;1,03;;;;
Beans, kidney, dark red, canned, not drained;175mL;189;161;672;10;30;tr;12,01;1;0,01;0,01;0,04;45;2,04;646;487;53;178;97;0;1,01;;;;
Beans, navy, canned, not drained;175mL;194;219;917;15;40;1;9,09;1;0,02;0,01;0,04;91;3,06;868;558;91;260;120;0;1,05;;;;
Beans, pinto, canned, not drained;175mL;178;153;639;9;27;tr;8,02;1;0,03;0,03;0,05;76;2,06;522;431;48;163;107;0;1,01;;;;
Beans, refried, canned;175mL;186;175;733;10;29;tr;9,09;2;0,09;1,00;0,03;65;3,01;557;498;62;160;21;0;N/A;;;;
Beans, white, canned, not drained;175mL;194;227;948;14;43;N/A;9,03;1;0,01;tr;0,02;141;5,08;315;880;99;176;126;0;1,06;;;;
Black-eyed peas, canned, not drained;175mL;178;137;572;8;24;N/A;5,09;1;0,03;0,01;0,04;36;1,07;531;305;50;124;91;0;0,05;;;;
Chickpeas (garbanzo beans), canned, not drained;175mL;178;211;884;9;40;N/A;7,08;2;0,02;0,05;0,09;57;2,04;531;305;51;160;119;0;0,03;;;;
Falafel, homemade;1 ball;17;57;237;2;5;N/A;1,03;3;0,04;1,07;0,07;9;0,06;50;99;14;33;18;0;N/A;;;;
Hummus, commercial;60mL;57;94;394;4;8;N/A;3,04;5;0,08;2,03;2,01;22;1,04;215;129;40;100;47;0;N/A;;;;
Lentils, boiled, salted;175mL;146;170;710;13;29;3;6,02;1;0,01;0,01;0,03;28;4,09;349;540;53;264;265;0;N/A;;;;
Lentils, pink, boiled;175mL;179;190;793;14;32;N/A;5,09;1;0,02;0,03;0,06;22;4,01;4;317;39;161;112;0;N/A;;;;
Peas, split, boiled;175mL;145;171;715;12;31;4;4,02;1;0,01;0,01;0,02;20;1,09;3;525;52;144;94;0;N/A;;;;
Soybeans, boiled;175mL;127;220;920;21;13;4;8,00;11;1,07;2,05;6,04;130;6,05;1;655;109;312;69;0;N/A;;;;
Peanuts;;;;;;;;;;;;;;;;;;;;;;;;;
Peanut butter, chunk type, fat, sugar and salt added;30mL;32;191;799;8;7;3;2,06;16;2,06;8,00;4,08;15;0,06;158;242;52;103;30;0;2,00;;;;
Peanut butter, natural;30mL;31;184;770;7;7;1;2,05;16;2,02;7,08;4,09;17;0,07;2;207;55;113;46;0;2,02;;;;
Peanut butter, smooth type, fat, sugar and salt added;30mL;32;191;798;8;6;3;1,08;16;3,03;7,07;4,05;14;0,06;149;210;50;116;24;0;2,09;;;;
Peanut butter, smooth type, light;30mL;36;190;794;9;13;3;1,09;12;2,07;5,09;3,07;13;0,07;197;244;62;135;22;0;2,04;;;;
Peanuts, all types, shelled, oil-roasted, salted;60mL;37;219;915;10;6;2;2,07;19;3,02;9,05;5,06;22;0,06;117;265;64;145;44;0;2,05;;;;
Peanuts, all types, shelled, roasted;60mL;37;217;906;9;8;2;3,00;18;2,06;9,01;5,08;20;0,08;2;244;65;133;54;0;2,06;;;;
Nuts;;;;;;;;;;;;;;;;;;;;;;;;;
Almonds, dried;60mL;36;208;870;8;7;2;4,02;18;1,04;11,06;4,04;89;1,05;tr;262;99;171;10;0;9,03;;;;
Almonds, oil roasted;60mL;40;242;1010;8;7;2;4,02;22;1,07;13,09;5,04;116;1,05;tr;278;109;186;11;0;10,03;;;;
Almonds, roasted, salted;60mL;35;209;874;8;7;2;4,01;18;1,04;11,08;4,04;93;1,06;119;261;100;171;12;0;9,01;;;;
Brazil nuts, dried;60mL;36;233;974;5;4;1;2,07;24;5,04;8,07;7,03;57;0,09;1;234;133;257;8;0;2,00;;;;
Cashews, roasted, salted;60mL;35;199;834;5;11;2;1,00;16;3,02;9,05;2,07;16;2,01;222;196;90;170;24;0;0,03;;;;
Hazelnuts or filberts, dried;60mL;34;215;899;5;6;1;3,03;21;1,05;15,06;2,07;39;1,06;0;233;56;99;39;0;5,02;;;;
Macadamia nuts, roasted, salted;60mL;34;243;1017;3;4;1;2,07;26;4,01;20,01;0,05;24;0,09;90;123;40;67;3;0;0,02;;;;
Mixed nuts, oil roasted, salted;60mL;36;222;929;6;8;2;3,02;20;3,01;11,04;4,08;39;1,02;151;209;85;167;30;0;2,06;;;;
Mixed nuts, roasted;60mL;35;206;863;6;9;N/A;3,01;18;2,04;10,09;3,07;24;1,03;4;207;78;151;17;0;N/A;;;;
Mixed nuts, roasted, salted;60mL;35;206;863;6;9;2;3,01;18;2,04;10,09;3,07;24;1,03;232;207;78;151;17;0;3,08;;;;
Pecans, dried;60mL;25;173;726;2;3;1;2,04;18;1,06;10,02;5,04;18;0,06;0;103;30;70;6;0;0,04;;;;
Pine nuts, pignolia, dried;60mL;34;230;963;5;4;1;1,03;23;1,07;6,04;11,07;5;1,09;1;204;86;197;12;0;3,02;;;;
Pistachios, shelled, roasted, salted;60mL;31;177;741;7;8;2;3,02;14;1,07;7,06;4,03;34;1,03;126;325;37;151;16;0;0,06;;;;
Walnuts, dried;60mL;25;166;694;4;3;1;1,07;17;1,06;2,03;12,00;25;0,07;1;112;40;88;25;0;0,02;;;;
Nut Butters;;;;;;;;;;;;;;;;;;;;;;;;;
Almond butter;30mL;32;205;858;5;7;N/A;1,02;19;1,08;12,04;4,00;88;1,02;4;246;98;170;21;0;N/A;;;;
Cashew butter;30mL;32;190;796;6;9;N/A;0,06;16;3,02;9,04;2,07;14;1,06;5;177;84;148;22;0;0,05;;;;
Sesame butter, tahini;30mL;30;181;757;5;6;tr;2,08;16;2,03;6,02;7,02;130;2,07;35;126;29;223;30;0;0,01;;;;
Seeds;;;;;;;;;;;;;;;;;;;;;;;;;
Flaxseeds, whole and ground;15mL;11;56;235;2;3;tr;3,00;4;0,04;0,08;3,02;36;0,05;3;89;39;53;30;0;tr;;;;
Pumpkin and squash seeds, kernels, dried;60mL;35;189;792;9;6;tr;1,04;16;3,00;5,00;7,03;15;5,02;6;282;187;411;20;0;N/A;;;;
Sunflower seed kernels, roasted, salted;60mL;32;189;790;6;8;1;2,09;16;1,07;3,01;10,07;23;1,02;133;276;42;375;77;0;8,05;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Vitamin A;Folate;Vitamin C;Vitamin B12;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;RAE;DFE;mg;mcg;;;;
Fast Foods;;;;;;;;;;;;;;;;;;;;;;;;;
Beverages;;;;;;;;;;;;;;;;;;;;;;;;;
Milk shake, chocolate;250mL;175;223;931;6;36;33;3,03;6;4,01;23;198;0,05;170;351;30;179;46;9;1;0,041666667;;;;
Milk shake, vanilla;250mL;175;195;814;6;31;31;0,02;5;3,03;19;214;0,02;144;305;21;179;65;9;1;0,04375;;;;
Side Dishes;;;;;;;;;;;;;;;;;;;;;;;;;
French fries;20-25 fries;76;236;989;3;29;N/A;2,05;12;5,00;11;12;1,00;124;541;25;101;2;25;4;0,09;;;;
Garlic bread;2 slices;52;192;801;5;26;tr;1,05;8;1,03;0;40;1,03;384;65;14;56;74;97;tr;0,01;;;;
Onion rings, breaded and fried;08-Sep;83;276;1152;4;31;N/A;1,07;16;7,00;14;73;0,08;430;129;16;86;1;85;1;0,12;;;;
Zucchini, breaded and fried, sticks;4;36;60;250;1;3;1;0,03;5;0,05;5;18;0,02;44;81;6;36;8;9;3;0,05;;;;
Sandwiches;;;;;;;;;;;;;;;;;;;;;;;;;
Breakfast bagel, with ham, egg and cheese;1;191;483;2019;27;52;7;0,04;18;7,08;243;185;4,01;1259;262;40;397;181;172;0;1,39;;;;
Breakfast biscuit with egg, cheese and bacon;1;144;477;1993;16;33;3;1,01;31;11,04;261;164;2,05;1260;230;20;459;N/A;64;2;1,05;;;;
Breakfast English muffin with egg, cheese and bacon;1;137;289;1208;17;27;3;1,05;13;4,07;234;151;2,04;729;199;23;270;177;86;2;0,046527778;;;;
Cheeseburger, double patty + condiments + vegetables;1;228;650;2718;30;53;N/A;1,08;35;12,08;93;169;4,07;921;390;36;349;N/A;131;3;2,07;;;;
Cheeseburger, single patty, plain;1;102;319;1335;15;32;6;1,03;15;6,05;50;141;2,04;500;164;21;196;N/A;N/A;0;0,067361111;;;;
Chicken sandwich, breaded chicken + condiments + vegetables;1;228;632;2640;29;42;N/A;2,02;39;12,04;78;258;3,06;1238;333;43;406;164;154;3;0,46;;;;
Chicken sandwich, grilled chicken + condiments + vegetables;1;169;335;1402;33;23;3;1,02;12;2,02;78;70;2,01;330;449;37;36;23;83;2;0,41;;;;
Donair / Gyro;1;195;310;1295;22;37;3;2,00;7;2,08;49;98;3,01;361;404;40;223;22;115;6;0,098611111;;;;
Fish sandwich with breaded fish;1;183;523;2189;21;48;N/A;2,04;29;8,01;68;185;3,05;939;353;37;311;N/A;134;3;1,08;;;;
Hamburger, double patty + condiments;1;215;576;2410;32;39;N/A;1,09;32;12,00;103;92;5,05;742;527;45;284;N/A;111;1;3,33;;;;
Hamburger, single patty, plain;1;90;275;1148;12;31;5;1,03;12;4,01;35;63;2,04;387;145;19;103;0;N/A;0;0,061805556;;;;
Submarine sandwich (6 inches), vegetarian;1;167;216;904;7;38;3;3,04;4;0,08;0;77;2,07;529;236;27;88;25;213;20;0;;;;
Submarine sandwich (6 inches), with cold cuts;1;228;456;1906;22;51;N/A;3,00;19;6,08;36;189;2,05;1651;394;68;287;71;109;12;1,09;;;;
Submarine sandwich (6 inches), with grilled/roasted chicken;1;229;417;1742;24;44;3;3,03;16;2,08;47;81;3,00;722;437;44;104;37;255;12;0,20;;;;
Submarine sandwich (6 inches), with tuna;1;256;584;2440;30;55;N/A;2,09;28;5,03;49;74;2,06;1293;335;79;220;46;135;4;0,084027778;;;;
Veggie burger, single patty + condiments + vegetables;1;157;359;1504;19;28;4;4,05;19;2,09;5;86;3,01;671;233;25;278;22;135;3;0,097222222;;;;
Wrap sandwich, chicken ranch;1;249;532;2227;32;44;3;3,05;25;6,07;77;134;3,03;847;544;50;235;50;146;12;0,47;;;;
Chinese;;;;;;;;;;;;;;;;;;;;;;;;;
Beef and broccoli stir fry;250mL;229;266;1111;24;9;1;2,02;15;3,05;58;48;2,08;433;473;35;189;90;104;59;2,00;;;;
Chicken almond guy ding;250mL;256;295;1232;22;18;3;2,06;15;1,06;42;58;1,07;510;591;61;123;14;27;7;0,29;;;;
Chicken chow mein;250mL;232;200;837;21;10;7;2,02;9;1,06;51;38;1,07;982;423;35;191;17;50;8;0,26;;;;
Chicken fried rice;250mL;209;343;1436;12;44;1;1,03;13;1,08;99;36;1,03;797;169;28;139;59;30;4;0,42;;;;
Egg roll;1;64;113;472;5;9;1;0,07;6;1,02;35;14;0,08;249;121;9;53;17;27;2;0,19;;;;
General Tao[Tso chicken;250mL;258;806;3371;50;8;3;0,06;62;11,00;163;39;2,02;1285;476;47;340;38;13;11;0,56;;;;
Hot and sour soup;250mL;258;167;697;17;5;1;0,05;8;2,08;36;45;1,08;1596;383;20;192;2;12;1;0,45;;;;
Sweet and sour chicken balls;3;75;199;831;9;17;7;0,05;10;2,07;46;24;1,00;390;90;13;23;18;19;1;0,17;;;;
Won ton soup;250mL;255;191;798;15;15;1;10;7;2,04;53;37;1,08;810;339;23;159;74;55;2;0,49;;;;
Pizza;;;;;;;;;;;;;;;;;;;;;;;;;
Pizza with cheese (medium - 12 inches);01-Jun;84;210;880;9;25;2;1,05;8;3,04;14;171;2,00;515;180;19;161;32;70;4;0,13;;;;
Pizza with cheese and pepperoni (medium - 12 inches);01-Jun;85;219;916;11;23;1;1,04;9;4,02;21;187;1,07;340;157;18;182;37;74;2;0,20;;;;
Pizza with cheese and vegetables (medium - 12 inches);01-Jun;93;193;809;8;24;3;1,08;7;3,00;12;154;1,09;482;201;19;147;31;63;11;0,11;;;;
Pizza with cheese, meat and vegetables (medium - 12 inches);01-Jun;105;250;1044;11;24;3;1,09;12;4,08;24;159;2,01;629;237;21;168;31;65;11;0,24;;;;
Other;;;;;;;;;;;;;;;;;;;;;;;;;
Chicken, breaded and fried (pieces);2 pieces;98;283;1184;22;9;0;0,03;17;4,06;85;20;1,03;286;181;20;151;0;N/A;0;0,27;;;;
Chicken, breaded and fried, boneless (nuggets);6;96;285;1192;15;16;1;0,09;18;3,09;53;13;0,08;551;251;24;277;5;14;1;0,32;;;;
Chili con carne;250mL;267;270;1128;26;23;N/A;4,09;9;3,06;142;72;5,05;1064;730;48;209;88;59;2;1,20;;;;
Corndog (PogoTM);1;75;197;825;7;24;N/A;1,01;8;2,02;34;44;2,06;417;1 13;8;71;16;57;0;0,19;;;;
Hot-dog, plain;1;98;242;1012;10;18;N/A;0,09;15;5,01;44;24;2,03;670;143;13;97;0;61;tr;0,51;;;;
Mixed Dishes;;;;;;;;;;;;;;;;;;;;;;;;;
Mexican;;;;;;;;;;;;;;;;;;;;;;;;;
Burrito with beans and cheese;1;93;189;790;8;27;N/A;3,08;6;3,04;14;107;1,01;583;248;40;90;49;52;1;0,45;;;;
Burrito with beef, cheese and chilli;1;152;316;1322;20;32;N/A;2,02;12;5,02;85;111;3,09;1046;333;35;158;99;99;2;1,03;;;;
Nachos with cheese;15-20 nachos;113;346;1446;9;36;N/A;4,01;19;7,08;18;272;1,03;816;172;55;276;N/A;N/A;1;0,056944444;;;;
Quesadilla with meat;1;184;627;2622;31;40;tr;2,05;38;17,03;95;442;3,09;1265;319;44;457;167;104;6;1,03;;;;
Taco salad;250mL;129;193;807;12;13;2;2,00;11;4,01;35;92;1,03;452;275;29;138;40;18;4;0,58;;;;
Taco with beef, cheese, salsa + vegetables;1;78;168;704;9;12;N/A;N/A;9;5,02;26;101;1,01;366;216;32;93;N/A;45;1;0,48;;;;
Sandwiches;;;;;;;;;;;;;;;;;;;;;;;;;
Club sandwich;1;246;558;2335;32;47;5;2,08;26;5,08;76;152;4,05;1152;480;47;347;43;163;6;0,48;;;;
Egg salad;1;157;479;2003;14;27;3;1,02;35;6,06;335;119;2,09;693;155;19;187;153;121;0;0,063888889;;;;
Hot chicken sandwich;1;284;388;1621;40;31;2;1,07;10;3,00;89;109;4,07;1344;519;43;327;0;96;0;0,54;;;;
Ham;1;121;260;1089;13;28;2;2,01;10;2,06;32;92;2,05;1132;229;25;139;49;93;3;0,24;;;;
Roast beef;1;139;346;1447;22;33;N/A;2,05;14;3,06;51;54;4,02;792;316;31;239;11;69;2;1,22;;;;
Salmon salad;1;162;340;1422;16;33;5;1,07;16;2,09;27;222;2,05;818;271;31;257;27;105;1;2,45;;;;
Tuna salad;1;162;371;1552;20;33;5;1,07;18;2,09;15;93;2,09;745;220;32;233;30;97;1;1,25;;;;
Salads;;;;;;;;;;;;;;;;;;;;;;;;;
Caesar;250mL;114;179;751;5;7;1;1,07;15;2,00;39;92;1,03;268;233;17;81;234;118;20;0,30;;;;
Caesar salad with chicken;500mL;327;491;2055;41;12;3;3,07;31;4,03;137;147;2,09;718;890;61;146;504;249;42;0,052777778;;;;
Garden;250mL;77;47;198;1;4;3;0,09;4;0,06;0;13;0,03;216;135;6;16;48;15;4;0;;;;
Greek;250mL;111;139;580;4;4;2;1,01;13;3,09;19;121;0,06;315;130;12;85;43;20;11;0,36;;;;
Pasta salad with vegetables;250mL;187;245;1001;5;33;5;2,02;10;1,06;0;27;1,08;1273;173;25;69;98;129;10;0;;;;
Pasta;;;;;;;;;;;;;;;;;;;;;;;;;
Lasagna with meat (7.5cm x 9cm);1 piece;232;364;1523;22;37;6;2,04;14;7,04;50;251;3,02;623;428;46;280;83;99;11;0,045138889;;;;
Lasagna, vegetarian (7.5cm x 9cm);1 piece;256;355;1485;19;46;7;2,09;11;6,06;38;304;3,02;737;423;49;290;102;119;13;0,21;;;;
Macaroni and cheese (Kraft DinnerTM);250mL;202;395;1653;11;49;6;2,00;17;4,01;9;158;2,02;784;162;36;194;165;191;tr;0,22;;;;
Macaroni casserole with beef and tomato soup;250mL;263;319;1334;23;32;6;1,09;10;4,00;52;31;3,05;376;399;40;186;14;112;2;1,30;;;;
Spaghetti with cream sauce;250mL;211;250;1047;9;47;4;1,09;2;0,09;5;81;2,02;111;140;34;140;33;192;tr;0,22;;;;
Spaghetti with meat sauce;250mL;262;401;1678;19;50;9;4,09;14;4,05;56;101;4,07;1008;761;60;216;68;162;13;0,061805556;;;;
Other;;;;;;;;;;;;;;;;;;;;;;;;;
Beef pot pie, commercial, individual;1 serving;227;638;2667;18;57;N/A;2,00;38;11,04;41;45;2,03;1203;293;N/A;109;279;88;0;N/A;;;;
Beef stew;250mL;259;168;701;18;14;3;1,08;4;1,06;39;29;2,02;604;496;33;183;132;26;9;1,52;;;;
Butter chicken;250mL;258;368;1538;28;13;4;1,05;23;9,09;116;125;2,04;740;669;54;307;147;15;11;0,44;;;;
Chicken fajita;1 fajita;223;350;1462;19;50;3;4,01;8;2,01;33;52;3,04;540;405;41;183;28;153;26;0,09;;;;
Chicken pot pie, commercial, individual;1 serving;227;494;2065;21;37;3;3,01;29;9,05;62;59;3,00;347;349;34;195;222;102;9;0,20;;;;
Pad Thai;250mL;171;220;920;15;26;4;1,05;6;0,09;68;26;0,09;344;258;30;56;36;24;5;0,23;;;;
Poutine;250mL;165;380;1587;13;25;1;1,09;26;9,09;40;282;1,04;755;387;26;261;97;16;7;0,38;;;;
Samosa, vegetarian;2;100;306;1280;5;32;1;2,01;18;5,06;8;33;1,08;795;178;17;70;36;68;3;0,06;;;;
Shepherd's pie;250mL;257;389;1628;17;40;5;3,01;17;5,00;41;52;1,09;584;766;54;213;94;42;14;1,23;;;;
Stir fry with beef;250mL;229;290;1213;22;20;11;2,02;14;2,03;46;45;2,07;888;534;37;211;30;43;69;0,095138889;;;;
Stir fry with chicken;250mL;171;255;1067;18;8;2;1,05;17;4,00;63;27;1,03;552;387;25;165;109;16;22;0,19;;;;
Stir fry with tofu;250mL;171;183;767;14;10;3;1,04;10;1,01;tr;142;1,08;493;326;36;141;72;22;20;0,02;;;;
Sushi with fish;4;104;164;684;5;35;7;0,08;tr;0,01;3;20;0,05;666;142;21;66;52;15;2;0,11;;;;
Sushi with vegetables, no fish;4;104;122;510;2;27;5;0,05;tr;0,01;0;13;0,02;100;60;13;38;16;7;2;tr;;;;
Sweet and sour meatballs;6;258;472;2322;26;33;19;0,07;26;10,06;95;76;3,03;931;409;37;243;33;34;1;0,125;;;;
